1,PO Box 93683,Apt 1344,2022-06-23,2022-05-20,Quinlan Impy,41,Pickerel - Fillets,79,54,,7,4564.62
2,,,2023-02-08,2022-05-29,,19,Appetizer - Mushroom Tart,68,8,544,7,582.08
3,Suite 85,Room 1546,2022-04-22,2023-04-03,Braden Fairfoot,16,Wine - Manischewitz Concord,88,85,7480,7,8003.6
4,6th Floor,12th Floor,2022-11-02,2022-06-30,Nonah Crebo,19,"Nut - Walnut, Chopped",23,19,437,7,467.59
5,3rd Floor,Apt 307,2023-01-01,2022-06-01,Janeczka Lampart,16,Triple Sec - Mcguinness,20,8,160,10,176
6,Room 1296,PO Box 7459,2023-03-22,2023-10-16,Chickie Lewins,26,Paper Cocktail Umberlla 80 - 180,15,83,1245,21,1506.45
7,Room 216,PO Box 22489,2022-05-13,2024-03-02,Ripley Mannion,47,Apron,35,67,,7,2509.15
8,Room 1756,Suite 56,2022-09-03,2023-03-14,Ki Kausche,50,Thyme - Dried,54,40,2160,7,2311.2
9,Apt 810,14th Floor,2022-10-01,2023-07-03,Niki Tavinor,6,Kellogs Raisan Bran Bars,20,73,1460,21,1766.6
10,3rd Floor,Suite 59,2022-11-28,2023-09-12,Nevin Proudlove,50,Pork - Belly Fresh,56,31,1736,10,1909.6
11,Room 342,PO Box 4906,2022-04-19,2023-05-30,Marybelle Self,26,"Bread - Bagels, Mini",45,20,900,21,1089
12,Room 190,Suite 95,2022-07-21,2023-09-20,Cathie Mattsson,40,Spice - Greek 1 Step,87,40,3480,21,4210.8
13,Apt 729,Apt 682,2022-05-01,2023-10-25,Murielle Leathers,26,"Salmon - Atlantic, Fresh, Whole",53,53,2809,10,3089.9
14,Suite 87,Room 1493,2022-04-07,2023-10-02,Zaneta Alphonso,22,Peppercorns - Green,1,16,16,7,17.12
15,15th Floor,PO Box 65259,2022-07-07,2024-04-01,Edvard Stert,23,Cookie Dough - Chunky,39,63,2457,21,2972.97
16,9th Floor,PO Box 89294,2022-05-08,2023-07-14,Gardie Folley,44,Potatoes - Mini White 3 Oz,47,70,3290,21,3980.9
17,,,2023-01-11,2024-01-05,,39,"Nut - Almond, Blanched, Sliced",61,64,3904,10,4294.4
18,Suite 63,Apt 1688,2023-02-01,2023-12-08,Mareah Windram,37,"Sauce - Soya, Light",17,36,612,10,673.2
19,Suite 21,Apt 1158,2022-10-18,2023-11-29,Jandy Ivashintsov,14,Easy Off Oven Cleaner,16,82,1312,7,1403.84
20,Apt 958,1st Floor,2022-12-02,2023-04-01,Clea Theobald,29,Bols Melon Liqueur,90,84,7560,10,8316
21,15th Floor,PO Box 25639,2022-10-09,2023-02-04,Sullivan Durman,18,Flour - Pastry,6,15,90,7,96.3
22,Apt 121,Room 446,2022-10-12,2023-12-02,Ezekiel Boughey,10,Muffin Mix - Oatmeal,72,48,3456,21,4181.76
23,PO Box 92804,PO Box 3241,2022-11-04,2023-07-13,Avis Busher,6,,53,30,1590,21,
24,,,2022-09-18,2023-08-09,,47,Beef - Cow Feet Split,34,98,,21,4031.72
25,Apt 1746,Room 1584,2022-04-14,2023-06-17,Darya Rany,8,Appetizer - Sausage Rolls,52,5,260,7,278.2
26,Room 1387,10th Floor,2023-03-08,2023-07-25,Darryl Bartoletti,30,"Beans - Black Bean, Dry",58,89,5162,21,6246.02
27,PO Box 10615,12th Floor,2022-08-31,2022-09-30,Georgeanna Sollon,17,Sambuca Cream,69,55,3795,21,4591.95
28,6th Floor,12th Floor,2022-04-19,2022-08-06,Mei Hobell,4,Cumin - Ground,36,74,2664,21,3223.44
29,PO Box 81695,Room 271,2022-12-02,2022-08-28,Aridatha Lear,35,Soup - Base Broth Chix,62,60,3720,21,4501.2
30,Room 1683,Room 483,2022-09-23,2024-02-12,Trace Afield,21,Wine - Jafflin Bourgongone,63,94,5922,21,7165.62
31,2nd Floor,Suite 9,2022-09-08,2024-01-27,Bren Gailor,45,Mountain Dew,39,20,780,21,943.8
32,Suite 85,Room 792,2022-10-24,2023-05-18,Bee Talbot,38,Spaghetti Squash,86,61,5246,10,5770.6
33,8th Floor,Apt 1603,2023-01-25,2023-04-23,Shellie Poure,22,"Cookies - Oreo, 4 Pack",3,37,111,7,118.77
34,,,2022-08-11,2023-07-31,,37,"Brownies - Two Bite, Chocolate",24,30,,21,871.2
35,Suite 79,Suite 25,2023-03-11,2023-11-10,Chester Sloper,9,Bread - Frozen Basket Variety,95,54,5130,10,5643
36,Apt 1805,Apt 1084,2022-12-04,2023-08-02,Dorelia Guillond,22,Turkey - Oven Roast Breast,74,64,4736,21,5730.56
37,18th Floor,Room 342,2022-08-14,2023-07-14,Ardyce Lavalde,17,,58,37,2146,7,
38,Apt 711,Suite 53,2023-03-12,2022-06-02,Caterina Driver,30,Soupfoamcont12oz 112con,57,43,2451,21,2965.71
39,15th Floor,Apt 1241,2022-08-26,2023-02-28,Syman Janca,29,,59,63,,10,
40,PO Box 48893,Suite 18,2022-04-16,2022-08-05,Rollin Lundbech,28,"Soup - Knorr, French Onion",26,50,1300,7,1391
41,,,2022-06-21,2022-09-25,,9,"Beef - Rouladin, Sliced",18,70,1260,10,1386
42,10th Floor,PO Box 95241,2022-11-17,2022-06-26,Ranee Burfoot,25,Carbonated Water - Blackcherry,83,20,1660,7,1776.2
43,5th Floor,PO Box 91925,2022-08-18,2022-11-23,Gabriele Tinham,5,,70,83,5810,21,
44,8th Floor,4th Floor,2023-02-25,2023-07-04,Ly Stabbins,37,"Water - Spring Water, 355 Ml",86,73,6278,7,6717.46
45,2nd Floor,Room 1597,2022-04-02,2023-12-31,Melicent Credland,20,"Iced Tea - Lemon, 460 Ml",32,64,2048,21,2478.08
46,PO Box 85215,Room 345,2022-07-11,2023-12-08,Orel Betancourt,47,"Leeks - Baby, White",64,41,2624,10,2886.4
47,16th Floor,PO Box 68224,2023-02-21,2024-02-19,Yvor Cashmore,32,Onions - Red,14,67,938,21,1134.98
48,PO Box 6283,PO Box 77120,2022-09-29,2022-06-28,Charmian Geratt,4,Soup - Boston Clam Chowder,81,9,729,7,780.03
49,PO Box 44462,Suite 17,2022-12-25,2023-02-02,Brunhilda Battyll,25,Kaffir Lime Leaves,56,53,2968,21,3591.28
50,Apt 516,Room 1108,2022-05-12,2023-12-14,Dasi Ducrow,15,Lemons,88,68,5984,10,6582.4
