51,,,2022-12-15,2022-05-15,,50,"Wine - Sherry Dry Sack, William",42,14,588,7,629.16
52,3rd Floor,Room 1106,2022-07-02,2023-10-11,Dick Firbanks,12,"Juice - Tomato, 10 Oz",37,54,1998,7,2137.86
53,Room 1889,Apt 381,2023-03-24,2022-12-12,Wernher Sprasen,35,"Tart Shells - Sweet, 2",94,88,8272,10,9099.2
54,Room 550,PO Box 22714,2022-06-24,2023-07-22,Jerrilyn Sheaber,9,Shiro Miso,84,10,840,21,1016.4
55,PO Box 40013,Room 1942,2023-03-31,2022-05-17,Lorie Keattch,33,"Pepper - Julienne, Frozen",49,90,4410,7,4718.7
56,Apt 1193,PO Box 54402,2023-03-09,2023-07-23,Zollie Bootes,39,,18,31,558,10,
57,11th Floor,Room 1544,2022-06-20,2023-04-19,Niels Froggatt,16,Puff Pastry - Slab,9,45,405,21,490.05
58,5th Floor,15th Floor,2022-06-25,2024-03-01,Gardy Bartlomieczak,45,"Beef - Ground, Extra Lean, Fresh",33,56,1848,21,2236.08
59,Suite 4,Apt 1954,2022-05-03,2024-02-17,Rosemarie Klemmt,27,Bread Crumbs - Panko,84,67,5628,21,6809.88
60,14th Floor,Apt 148,2022-06-16,2022-12-08,Lyman Barsham,4,,16,38,608,7,
61,15th Floor,Room 1814,2023-01-10,2022-11-18,Vivie De Vries,43,Wine - Manischewitz Concord,40,6,240,7,256.8
62,Room 770,Room 57,2022-05-04,2022-04-16,Jesselyn Cesconi,15,Coconut Milk - Unsweetened,99,76,7524,10,8276.4
63,PO Box 34026,Apt 964,2022-07-20,2023-09-15,Darcy O'Corrin,31,Ecolab - Ster Bac,25,100,2500,10,2750
64,,,2023-01-10,2022-09-05,,36,,66,46,3036,10,
65,Apt 164,8th Floor,2023-02-14,2023-02-16,Nathaniel Huggett,18,Pork Casing,82,28,2296,10,2525.6
66,Suite 37,Room 1067,2022-09-16,2024-01-14,Gus Gascar,39,,94,14,1316,10,
67,Apt 525,PO Box 10506,2022-08-13,2024-03-06,Marcelo Grolmann,21,,59,10,590,21,
68,Suite 43,Apt 938,2023-03-13,2022-06-15,Althea Harwick,14,"Shrimp - Baby, Warm Water",80,36,2880,10,3168
69,,,2023-03-27,2024-01-14,,10,Couscous,17,97,1649,7,1764.43
70,Room 488,Apt 1755,2023-01-05,2023-03-27,Cos Kiehl,43,Beef Cheek Fresh,9,14,126,21,152.46
71,7th Floor,2nd Floor,2022-07-23,2022-08-18,Kaleena Keningham,43,Pork - Caul Fat,21,96,2016,7,2157.12
72,Room 461,20th Floor,2022-07-31,2023-08-30,Zollie Targetter,7,Muffin Mix - Morning Glory,46,47,2162,10,2378.2
73,Suite 35,Room 101,2022-07-11,2022-12-05,Bibby Polkinghorne,35,Tequila - Sauza Silver,36,75,2700,21,3267
74,Suite 19,Apt 489,2022-12-01,2024-01-31,Andrus Temperton,12,Beer - Heinekin,5,78,390,7,417.3
75,Room 1792,5th Floor,2022-06-14,2022-06-05,Mitchell Padkin,43,Silicone Paper 16.5x24,30,68,2040,7,2182.8
76,17th Floor,Apt 1687,2023-03-07,2023-06-15,Carlie Shapero,36,,96,92,8832,21,
77,Suite 35,Room 387,2022-04-02,2022-07-16,Charisse Giraudou,2,Asparagus - Frozen,21,15,315,21,381.15
78,Room 627,15th Floor,2022-06-04,2022-05-06,Marietta McDonagh,15,Pastry - Lemon Danish - Mini,29,10,290,10,319
79,Room 1989,Apt 1632,2022-09-27,2022-12-27,Weylin Kniveton,16,Flavouring - Orange,56,60,3360,7,3595.2
80,Apt 724,PO Box 12846,2022-08-12,2022-11-10,Jenna Coytes,10,Cornflakes,76,26,1976,21,2390.96
81,3rd Floor,PO Box 19947,2023-03-24,2022-05-22,Ruggiero Larose,44,,7,42,294,7,
