301,PO Box 12899,PO Box 97761,2023-01-31,2022-12-23,Nessa Maskall,4,Wine - Redchard Merritt,2,100,200,7,214
302,Room 1313,Room 1174,2022-05-31,2023-07-04,Denver Steeden,1,Wine - Merlot Vina Carmen,20,20,400,21,484
303,5th Floor,19th Floor,2022-11-21,2022-10-23,Amabelle Cordle,34,Relish,84,86,7224,7,7729.68
304,,,2022-08-04,2023-06-24,,27,Potatoes - Idaho 100 Count,9,29,261,21,315.81
305,Apt 1430,Suite 85,2022-04-22,2024-03-07,Cecilius Gredden,17,Sausage - Liver,82,11,902,10,992.2
306,,,2022-12-26,2023-12-24,,9,"Placemat - Scallop, White",15,55,825,10,907.5
307,Room 130,Suite 76,2023-03-10,2022-11-13,Bonnie de Quincey,49,Food Colouring - Orange,23,34,782,21,946.22
308,PO Box 48036,Apt 711,2022-06-07,2022-10-15,Hube Hamly,44,Wood Chips - Regular,91,67,6097,21,7377.37
309,8th Floor,Room 76,2022-10-15,2024-03-09,Creight Filer,41,"Wine - Magnotta, Merlot Sr Vqa",45,68,,7,3274.2
310,Apt 1180,Apt 1879,2022-05-18,2022-12-15,Mart Ranfield,11,Bar Bran Honey Nut,52,82,4264,10,4690.4
311,Room 1677,Room 878,2022-10-07,2022-09-02,Abel Dussy,4,Five Alive Citrus,62,62,3844,10,4228.4
312,17th Floor,Apt 154,2022-08-18,2023-05-14,Harcourt Storres,45,Cheese - Brie,73,8,584,21,706.64
313,Apt 1259,Apt 930,2022-04-20,2024-02-13,Jo-ann MacDermid,9,"Soup - Campbells, Beef Barley",53,96,5088,7,5444.16
314,Suite 58,PO Box 92969,2022-11-26,2023-03-31,Irvine Reditt,26,Cakes Assorted,62,8,496,7,530.72
315,Apt 769,Room 13,2022-07-13,2022-11-17,Brigitta McNelly,38,Appetizer - Crab And Brie,68,35,2380,10,2618
316,Apt 1874,Room 1803,2022-09-06,2023-10-17,Chelsie Mepsted,41,Mix Pina Colada,54,15,810,7,866.7
317,Room 1363,Apt 240,2022-11-18,2022-04-30,Nyssa Pedder,14,Chicken - Livers,28,48,1344,10,1478.4
318,PO Box 50714,PO Box 98539,2022-12-08,2022-08-24,Kevon Levinge,33,Pastry - Apple Large,44,16,704,10,774.4
319,Apt 1445,Apt 1296,2022-12-13,2023-04-17,Alley Critzen,23,Chicken - Base,41,73,2993,21,3621.53
320,Room 793,Room 122,2022-08-21,2023-09-10,Sande Kitlee,6,Longos - Grilled Veg Sandwiches,62,26,1612,10,1773.2
321,Apt 392,Apt 262,2022-12-01,2023-01-10,Ada Vahl,6,Bay Leaf,47,15,705,10,775.5
322,,,2022-04-10,2023-11-26,,34,Energy Drink Bawls,3,60,180,7,192.6
